0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:43 +0800] "GET /Final_Assignment/userList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:43 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:47 +0800] "GET /Final_Assignment/userList?searchColumn=real_name&keyword=wqe HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:47 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:52 +0800] "GET /Final_Assignment/userList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:52 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:55 +0800] "GET /Final_Assignment/authLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:55 +0800] "GET /Final_Assignment/login.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:41:55 +0800] "GET /Final_Assignment/authValidationCode HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:02 +0800] "POST /Final_Assignment/authLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:02 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:05 +0800] "GET /Final_Assignment/userEditPre?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:06 +0800] "GET /Final_Assignment/user_edit.jsp HTTP/1.1" 200 4960
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:21 +0800] "GET /Final_Assignment/userEditPre?id=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:21 +0800] "GET /Final_Assignment/user_edit.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:23 +0800] "POST /Final_Assignment/userEdit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:23 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:25 +0800] "GET /Final_Assignment/userEditPre?id=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:25 +0800] "GET /Final_Assignment/user_edit.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:27 +0800] "POST /Final_Assignment/userEdit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:42:27 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 6922
